"filename", "language", "PHP", "JavaScript", "CSS", "JSON", "XML", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\de\force-delete.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\de\group.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\de\modal.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 9, 24
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\de\replicate.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 15, 34
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\de\restore.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\de\view.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 12, 26
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\en\associate.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 19, 46
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\en\attach.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 19, 46
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\en\create.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 16, 38
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\en\delete.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\en\detach.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\en\dissociate.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\en\edit.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 15, 34
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\en\force-delete.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\en\group.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 4, 10
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\en\modal.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 9, 24
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\en\replicate.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 15, 34
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\en\restore.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\en\view.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 12, 26
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\es\associate.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 19, 46
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\es\attach.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 19, 46
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\es\create.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 16, 38
"c:\xampp\htdocs\proyecto\lang\vendor\filament-actions\es\delete.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 27, 62
